feature	s__Bifidobacterium_dentium	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_longum	s__Lactobacillus_fermentum	s__Lactobacillus_salivarius	s__Lactobacillus_rhamnosus	s__Actinomyces_naeslundii	s__Actinomyces_oris	s__Actinomyces_sp_HPA0247	s__Streptococcus_anginosus_group	s__Streptococcus_mutans	s__Streptococcus_vestibularis	s__Escherichia_coli	s__Klebsiella_pneumoniae	s__Klebsiella_quasipneumoniae	s__Blautia_wexlerae	s__Blautia_hansenii	s__Anaerostipes_hadrus	s__Clostridium_sp_CAG_58	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_ramulus	s__Eubacterium_rectale	s__Eubacterium_sp_CAG_38	s__Faecalibacterium_prausnitzii	s__Fusicatenibacter_saccharivorans	s__Roseburia_faecis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Ruminococcus_bicirculans	s__Ruminococcus_lactaris
DP213	0	0.0634472	0.0103222	0.1283808	4.42e-05	0	0	0	6.51e-05	0.0001299	0	0	0	0.0074683	0.0002235	0	0	0	0	0.0113776	0	0	0	0	0	0	0	0	0	0	0	0
DP211	0	0	0	0	0	0	0	9.32e-05	0.0001197	0	0	0	0	0.013423	0	0	0.0091175	0.0070796	0	0.0017538	0	0.0647481	0	0.1049196	0.0001661	0	0	0	0.0018675	0.0009028	0	0
DP208	0.0071631	0	0	0.0945598	0.0134368	0	0	0	0	0.0006349	0	0.0003402	0.0004767	0	0	0	0	0	0.0275604	0	0	0.00104	0	0	0.01054	0.1619597	0	0	0	0	0	0
DP207	0.0002045	0.030392	0	0.0379679	0	0	0	0	1.36e-05	0	0	0	0	0.0125321	0.0002692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018235	0	0
DP206	0	0	0	0.0006477	0	0	0	0	0.0002189	0	0	0	0.0001842	0	0	0	0.0043983	0	0.0327206	0.0074624	0.0048898	0.0016686	0	0	0.0016017	0.1048818	0.0293593	0.0016723	0.0005115	0.0011239	0.0270578	0.0057594
DP204	0	0	0	0.0140796	0	0	0	0.0002055	4.86e-05	0	0	0	0	9.5e-05	0	0	0.0272021	0	0	1.72e-05	0	0	0	0	0	0.0313482	0.013129	0.0041024	0.0099652	0	0	0
DP203	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1636109	0.0016018	0.0002022	0.0395887	0.0012595	0.013594	0.0055242	0.0010563	0.0111166	0.0063153	4.41e-05	0.0118359	0	0.006372	0	0.0142857	0	0	0
DP202	0	0.0228464	0	0.0194337	0	0	0	0	0	0	0	0	0.0002759	0	0	0	0.0016954	3.7e-06	0.0088017	0.0037569	0	0	0	0.0614386	0	0.0033944	0	0.0082216	0.0017698	0	0	0
DP201	0.0045838	0.0327778	0	0.04793	0	0.0001091	0	0	0.0002598	0.0003152	0.0011574	0.0030661	0.0002596	0	0.0086116	0.0014539	0	0	0	0	0.0001586	0	0	0	0	0	0	0	0	0	0	0
DP200	0.0001026	0	0	0.0086051	0	0	0	0	7.8e-06	1.14e-05	0	0	0	0	0	0	0.0014617	0	0.0016999	0.000275	0.0012581	0.0051075	0.0003019	0.1032173	0.0029027	0.1210085	0.1254686	0.0226096	0.0037024	0.0010112	0.0152349	0
